evidence_id,family,indicator,type,first_seen,provenance,confidence,independently_verified,source_url,retrieval_date_utc,notes,status_label
MNF-IND-0001,MiniFast,10fd541674adadfbba99b54280f7e59732746faf2b10ce68521866f737f1e46d,sha256,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0002,MiniFast,eee657ffdb2af8ed6412221e7d5fbf4f5742f2ac2c88f43f12db46af0697de71,sha256,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0003,MiniFast,781605ce9d4a9869e846f6c9657d71437cb6240ab27ffbc4cd550c0e06996690,sha256,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0004,MiniFast,2c214494fd0bad31473ca8adce78a4f50847876584571e66aadeae70827ec2dc,sha256,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0005,MiniFast,f08b17856616d66492a24dced27f788e235f35f42fa7cd10f315000d3a2f4c03,sha256,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0006,MiniFast,a57ffb819fe8d98ff925c5d7b239598fe302acf5a13193d7a535040a71298fdf,sha256,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0007,MiniFast,63d0d3c4a7f71bdbca720903d6a99b832089cc093c64d2938e7e001e56c17ab4,sha256,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0008,MiniFast,74882085db2088356ed7f72f01e0404a0a98cda88ef56fb15ce74c1f36b26d27,sha256,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0009,MiniFast,bc3b44154518c5794ce639108e7b9c5fecb0c189607a26de1aaed518d890c7ad,sha256,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0010,MiniFast,ecaf493c320d201d285ef5f61d75744216e47cf1115b4af528f9a78883cc446e,sha256,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0011,MiniFast,44f4f7aca7f1d9bfdaf7b3736934cbe19f851a707662f8f0b0c49b383e054250,sha256,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0012,MiniFast,0db36a04d304ad96f9e6f97b531934594cd95a5cea9ff2c9af249201089dc864,sha256,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0013,MiniFast,business-startup.org,domain,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0014,MiniFast,business-startup.azurewebsites.net,domain,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0015,MiniFast,businessstartup.azurewebsites.net,domain,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0016,MiniFast,buisness-centeral.azurewebsites.net,domain,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0017,MiniFast,buisness-centeral-transportation.azurewebsites.net,domain,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0018,MiniFast,buisness-centeral-transportation.com,domain,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MNF-IND-0019,MiniFast,licencemanagers.azurewebsites.net,domain,2026-05,PRIMARY-SOURCE,High,false,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,2026-09-20T02:25:00Z,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
