evidence_id,family,indicator,type,first_seen,provenance,confidence,independently_verified,source_url,retrieval_date_utc,notes,status_label
TEN-IND-0001,TencShell,45.64.52.242,ipv4,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Cato CTRL network indicator (defanged 45[.]64[.]52[.]242) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
TEN-IND-0002,TencShell,192.238.134.166,ipv4,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Cato CTRL network indicator NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
TEN-IND-0003,TencShell,45.115.38.27,ipv4,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Cato CTRL network indicator NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
TEN-IND-0004,TencShell,gin-tne-fahcesmukw.cn-hangzhou.fcapp.run,domain,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Observed C2 / staging domain (Alibaba FC-style) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
TEN-IND-0005,TencShell,c3ecb90c9915daa23aec51f93ff8665778866f0592b2413578c8ba9708df6091,sha256,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Cato CTRL published sample hash NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
TEN-IND-0006,TencShell,660af53acdc505f333f6d4f4269cec740a5eb05e41a4c7926742606b18f22d33,sha256,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Cato CTRL published sample hash NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
TEN-IND-0007,TencShell,37facbbd0047c19f4efdea75ccb9e3ec793cb9b1d7846afa4fb8e900d6e9ed95,sha256,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Cato CTRL published sample hash NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
TEN-IND-0008,TencShell,01dc3e7e673b4f2682f29b19ecabf9a6ec9c3042c9b1cfb39dbdddf1dda680ab,sha256,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Cato CTRL published sample hash NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
TEN-IND-0009,TencShell,750a707084839fe970266964957b8eaa7e25b4d9ca1050cd7ab19e4a2add707d,sha256,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Cato CTRL published sample hash NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
TEN-IND-0010,TencShell,12f76f48727916d6c05f53f8cd94915db5de5ffcbfa02c4807c27e090cfa47c1,sha256,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Cato CTRL published sample hash NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
TEN-IND-0011,TencShell,4ae8de40153c66455d972e6e98fe06fb68db7301ba126557e96599527bc5509c,sha256,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Cato CTRL published sample hash NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
TEN-IND-0012,TencShell,1ba73df60e12b3feb8b5574e65cfceb6910460ab7fae2cf5554769fafdad049e,sha256,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Cato CTRL published sample hash NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
TEN-IND-0013,TencShell,OneDriveHealthTask,string,2026-04,PRIMARY-SOURCE,High,false,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,2026-09-20T02:25:00Z,Registry Run value name used for persistence NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
