evidence_id,family,indicator,type,first_seen,provenance,confidence,independently_verified,source_url,retrieval_date_utc,notes,status_label
ARG-IND-0001,Argamal,42add9475e67a1ccc6a6af94b5475d3defc01b85,sha1,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,Modified FFmpeg DLL (SHA1) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ARG-IND-0002,Argamal,edce72f59e4c1d136cd1946af70d334c19df858d,sha1,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,natives2_blob.bin / Trojan downloader (SHA1) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ARG-IND-0003,Argamal,76253fb55aed707440e808ea78e7101318436b1c,sha1,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,RAT payload (SHA1) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ARG-IND-0004,Argamal,1405a3c5e0aeb08012484134e16cdec4ab29b4a4,sha1,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,RAT payload (SHA1) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ARG-IND-0005,Argamal,535f4337f261b6da20a3c614eb13270bed2d533a,sha1,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,RAT payload (SHA1) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ARG-IND-0006,Argamal,d2cb0d7a9ad2b5d4ea7c2da8aec62beb37cf36d6,sha1,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,RAT payload (SHA1) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ARG-IND-0007,Argamal,9803604ec45f31f9ef75bcca1e1310d8ac1fc3a6,sha1,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,Trojan downloader (SHA1) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ARG-IND-0008,Argamal,02819d200d1424882af81cb504b3e8614b32397a,sha1,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,Trojan downloader (SHA1) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ARG-IND-0009,Argamal,asper1.freeddns.org,domain,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,Early-version default C2 NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ARG-IND-0010,Argamal,Winst0.kozow.com,domain,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,Latest-version default C2 NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ARG-IND-0011,Argamal,country1.ignorelist.com,domain,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,Associated infrastructure domain NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ARG-IND-0012,Argamal,186.158.223.35,ipv4,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,Shared C2 resolution (Kaspersky infrastructure table) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ARG-IND-0013,Argamal,181.116.218.56,ipv4,2024/2026,PRIMARY-SOURCE,High,false,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,2026-09-20T02:25:00Z,Earlier asper1 resolution (2024) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
